"","Continent_Name","geo","country","lifeeexp_2021","Income per person","GDP total","growth_2021","date","people_fully_vaccinated_per_hundred","people_vaccinated_per_hundred","verficiation_vaccination_par_100","total_vaccinations_per_hundred","people_fully_vaccinated","total_boosters","total_vaccinations","population_2021"
"165","Oceania","ton","Tonga",72.21,6212,663211894,2.63,2021-12-20,53.04,68.95,121.990651841999,121.99,56627,NA,130236,106759
"166","North America","tto","Trinidad and Tobago",74.75,24421,34271521482,3.58,2021-12-20,47.04,50.11,97.7792092485681,97.78,660103,55829,1372208,1403374
"167","Asia","are","United Arab Emirates",73.9,61292,612376995226,-0.46,2021-12-20,90.28,98.99,222.010887108034,222.01,9020082,3270769,22181292,9991083
"168","Africa","tun","Tunisia",79.12,9983,119160007212,1.5,2021-12-20,46.04,53.85,94.901046971103,94.9,5495388,701546,11327165,11935764
"169","Europe","tur","Turkey",79.96,29809,2535062468512,2.29,2021-12-20,60.21,66.65,146.882062919518,146.88,51202223,17026098,124912525,85042736
"170","Asia","tur","Turkey",79.96,29809,2535062468512,2.29,2021-12-20,60.21,66.65,146.882062919518,146.88,51202223,17026098,124912525,85042736
"171","Asia","tkm","Turkmenistan",70.6,15988,97812499597,2.83,2021-12-20,52.41,71.51,123.914008211597,123.91,3206282,NA,7580976,6117933
"172","Oceania","tuv","Tuvalu",NA,4376,52189688,3.11,2021-12-20,49.34,52.24,101.584905660377,101.58,5884,NA,12114,11925
"173","Africa","uga","Uganda",67.29,2136,100650940241,1.93,2021-12-20,2.99,17.73,20.7179499890214,20.72,1408222,NA,9763030,47123533
"174","Europe","ukr","Ukraine",71.01,12894,560460420739,3.81,2021-12-20,30.1,33.18,63.2296467406796,63.23,13082157,NA,27483918,43466822
"175","Africa","egy","Egypt",71.29,12000,1251069058922,3.59,2021-12-20,18.31,30.25,47.7144976630979,47.71,19089596,NA,49746337,104258327
"176","Europe","gbr","United Kingdom",81.35,43908,2994810557900,4.59,2021-12-20,68.98,75.5,186.971924951993,186.97,47051876,28978244,127528154,68207114
"177","Africa","tza","Tanzania",68.41,2602,160007895660,1.59,2021-12-20,1.75,2.59,2.76352222149122,2.76,1078102,NA,1699523,61498438
"178","North America","usa","United States",78.7,63517,21145722037487,2.92,2021-12-20,61,72.85,149.058907738134,149.47,202527536,60715948,496239573,332915074
"179","Africa","bfa","Burkina Faso",63.32,2161,46465267772,2.23,2021-12-20,1.55,2.06,3.6141670663718,3.61,334172,NA,776941,21497097
"180","South America","ury","Uruguay",77.61,20797,72482053762,2.76,2021-12-20,76.62,79.27,198.310346291926,198.31,2670347,1478338,6911417,3485152
"181","Asia","uzb","Uzbekistan",70.9,7203,244451080400,3.5,2021-12-20,32.72,54.57,110.053402361786,110.05,11102403,NA,37347464,33935765
"182","South America","ven","Venezuela",75.18,5285,151709023052,-2.64,2021-12-20,40.44,64.08,104.684791788677,104.68,11608305,NA,30049714,28704947
"183","Oceania","wsm","Samoa",73.4,5721,1145017194,0.82,2021-12-20,60.84,70.66,131.499820129507,131.5,121765,NA,263189,200144
"184","Asia","yem","Yemen",68.25,2372,72320693107,0.1,2021-12-20,1.2,1.83,2.57792891779015,2.58,366587,NA,786027,30490639
"185","Africa","zmb","Zambia",64.61,3173,60027026593,-1.91,2021-12-20,5.17,4.26,7.58172932366989,7.58,978860,NA,1434513,18920657
